Guide,LN_mean,Geo_mean,50_percentile,95_percentile,TTN,TTB,TTN_normalized,TTB_normalized,50_percentile_relative,95_percentile_relative,Geo_mean_relative,LN_mean_relative,TTB_relative,TTB_normalized_relative,TTN_relative,TTN_normalized_relative,Type,Bootstrap_id,95_percentile_relative_95P,95_percentile_relative_5P,95_percentile_relative_fraction_greater_than_one,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,Geo_mean_relative_95P,Geo_mean_relative_5P,Geo_mean_relative_fraction_greater_than_one,Geo_mean_relative_bootstrap_median,Geo_mean_relative_bootstrap_mean,Geo_mean_relative_97.5P,Geo_mean_relative_2.5P,TTN_normalized_relative_95P,TTN_normalized_relative_5P,TTN_normalized_relative_fraction_greater_than_one,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTB_normalized_relative_95P,TTB_normalized_relative_5P,TTB_normalized_relative_fraction_greater_than_one,TTB_normalized_relative_bootstrap_median,TTB_normalized_relative_bootstrap_mean,TTB_normalized_relative_97.5P,TTB_normalized_relative_2.5P,50_percentile_relative_95P,50_percentile_relative_5P,50_percentile_relative_fraction_greater_than_one,50_percentile_relative_bootstrap_median,50_percentile_relative_bootstrap_mean,50_percentile_relative_97.5P,50_percentile_relative_2.5P,LN_mean_relative_95P,LN_mean_relative_5P,LN_mean_relative_fraction_greater_than_one,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,95_percentile_relative_pvalue,95_percentile_relative_pvalue_FDR,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,Geo_mean_relative_pvalue,Geo_mean_relative_pvalue_FDR,Geo_mean_relative_pvalue_twoside,Geo_mean_relative_pvalue_twoside_FDR,TTN_normalized_relative_pvalue,TTN_normalized_relative_pvalue_FDR,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,TTB_normalized_relative_pvalue,TTB_normalized_relative_pvalue_FDR,TTB_normalized_relative_pvalue_twoside,TTB_normalized_relative_pvalue_twoside_FDR,50_percentile_relative_pvalue,50_percentile_relative_pvalue_FDR,50_percentile_relative_pvalue_twoside,50_percentile_relative_pvalue_twoside_FDR,LN_mean_relative_pvalue,LN_mean_relative_pvalue_FDR,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,Experiment,Mouse_genotype,Position
Rb1_1,558.0681161707638,500.3399600159606,437.06293706293707,1315.7687927400525,255.0,148629.23614755773,1.0,1.0,1.0000000000000002,0.8471376344249943,0.9484164387303242,0.905423760944938,0.9060866990549808,1.0,1.0450819672131149,1.0,Inert,Real,1.3047313105249476,0.6153127597017425,0.119,0.8203320613973857,0.8570245956922266,1.5148514851485135,0.5796704376314998,1.012012711147107,0.9042108816449672,0.073,0.9475197793840288,0.9520587612662298,1.0302963156154248,0.8929427127184311,1.232082526952298,0.7859903132320571,0.486,0.9951781223347193,1.0005229467587846,1.281364229008235,0.7280158612143389,1.405202012117493,0.6338118202438113,0.483,0.9928521696222056,1.0036326877374635,1.508850618984966,0.5324454813332088,1.0499999999999998,0.9437910383144528,0.753,1.0000000000000002,0.995694002302159,1.0499999999999998,0.9230769230769232,1.0290142341202233,0.8405961387569966,0.083,0.9090993800394234,0.9197781818370022,1.104008969239768,0.8285051177522857,0.119,0.237,0.238,0.4740000000000001,0.073,0.2189999999999999,0.146,0.4379999999999999,0.486,0.496,0.972,0.992,0.483,0.484,0.966,0.968,0.247,0.247,0.494,0.494,0.083,0.1995,0.166,0.399,SCLC,TKO,Guide2
Rb1_2,621.3771001740473,529.3088398725217,437.06293706293707,1486.013986013986,224.0,154436.13588955786,1.0,1.0,1.0000000000000002,0.9567474010481788,1.003328226840732,1.0081378503847227,0.9414872350151364,1.0,0.918032786885246,1.0,Inert,Real,1.2626674351091332,0.7078721949942552,0.345,0.9452251303869528,0.960640462436684,1.347593590669922,0.6709429824561405,1.0934375416981983,0.9391013372931292,0.56,1.0060121507774502,1.0124954414096463,1.1952226693463293,0.9266761824111334,1.2104347007780705,0.7707279323193413,0.504,1.0009208365118345,0.99850838374354,1.2533238223130094,0.7267214134474012,1.3393088900815069,0.6498213703609619,0.484,0.9926942498999138,0.9932557575856034,1.4134966912363016,0.5935029601364041,1.1212735536174905,0.9372580655058992,0.784,1.0000000000000002,1.0074101389429089,1.2247599039615846,0.8999999999999999,1.136719700139924,0.9098554291865,0.541,1.0077819889282398,1.0138443295665305,1.1955010414784613,0.8922506347902238,0.345,0.345,0.69,0.69,0.4399999999999999,0.4399999999999999,0.8799999999999999,0.8799999999999999,0.496,0.496,0.992,0.992,0.484,0.484,0.968,0.968,0.2159999999999999,0.247,0.4319999999999999,0.494,0.4589999999999999,0.4589999999999999,0.918,0.9179999999999998,SCLC,TKO,Guide2
Rb1_3,669.6385174032647,553.0102713285306,437.06293706293707,1857.798165137615,253.0,189037.3250974077,1.0,1.0,1.0000000000000002,1.1961149645268272,1.048255334428944,1.0864383886703393,1.1524260659298824,1.0,1.036885245901639,1.0,Inert,Real,1.5211195428281383,0.7764469687379755,0.842,1.1950680928951662,1.1823349418710896,1.583391909395337,0.3818349753694583,1.1202931315586857,0.9506200317827757,0.851,1.0456112471767096,1.0354457973241238,1.136486200781015,0.7445524181851951,1.165110070406369,0.846910517309097,0.475,0.9959470459448015,1.0009686694976754,1.2161983278507642,0.8082995081582254,1.299388173234443,0.7226458707029149,0.467,0.9876136713558362,1.003111554676933,1.6453407029291565,0.4722220941736137,1.0909090909090908,0.8571428571428572,0.802,1.0000000000000002,0.9968958587549324,1.116375532404167,0.8076923076923077,1.1849556544972684,0.9378836128033228,0.867,1.0812385409581595,1.0663774885964672,1.2055750492056296,0.6523075067693539,0.158,0.237,0.316,0.4740000000000001,0.149,0.2235,0.298,0.447,0.475,0.496,0.95,0.992,0.467,0.484,0.934,0.968,0.1979999999999999,0.247,0.3959999999999999,0.494,0.133,0.1995,0.266,0.399,SCLC,TKO,Guide2
Pten_1,798.803170845927,671.1798876362932,549.4505494505495,2191.235059760956,6303.0,5282693.519126302,1.0,1.0,1.0,1.0072319486647758,0.9978392853201676,0.9959500196819194,1.000498667659368,1.0,1.0131268752678957,1.0,Inert,Real,1.0576791085026145,0.9545454545454544,0.596,1.00972602739726,1.007676537159555,1.0645400604743742,0.943258686810434,1.011128577452748,0.9819907223657858,0.385,0.9971553570673236,0.9970452307551712,1.0125036210073484,0.9778987853287778,1.0322090931363714,0.9697638369688448,0.514,1.0008938589848864,1.0006037751935932,1.0382515109674664,0.9642194414018844,1.055244702412057,0.9495577673402644,0.528,1.0015088836471946,1.001333835244278,1.064914934615338,0.9370203452640508,1.0683582089552237,0.999792243767313,0.34,1.0,1.013522244271676,1.0751383187578083,0.9716129032258064,1.015402100173144,0.9722736001237138,0.37,0.9952582439588517,0.9945612354585024,1.017990583630044,0.9668320615365276,0.404,0.4040000000000001,0.808,0.8080000000000002,0.385,0.385,0.77,0.77,0.486,0.489,0.972,0.978,0.472,0.494,0.944,0.988,0.34,0.34,0.68,0.68,0.37,0.3699999999999999,0.74,0.7399999999999999,OncNeg,KT,Guide3
Pten_2,812.0352462529381,678.0691032997082,549.4505494505495,2197.802197802198,7099.0,6128047.161618692,1.0,1.0,1.0,1.0102506258336017,1.0080814426920284,1.0124478081772874,1.1606016889594777,1.0,1.141073724817831,1.0,Inert,Real,1.0740091757259036,0.97879311989145,0.702,1.0170654091922362,1.0187742582589878,1.0810595486352494,0.969416436683602,1.0192721212425926,0.9984496656636545,0.911,1.008054032273551,1.0083272223801096,1.0215384133387,0.996399549867919,1.026208162094449,0.9709328307547584,0.489,0.999620811338006,0.9996101575388676,1.0329005419729298,0.9641653386552754,1.0423495176790951,0.9563877645853104,0.506,1.0004838656058124,1.0005014482845702,1.0517380680402568,0.9450075567844136,1.0438439969411166,0.965820895522388,0.223,1.0,1.003285070788743,1.0567741935483872,0.9624308406210956,1.0298437569535894,0.998140444203264,0.919,1.0128545481558882,1.013211620436248,1.032801610377352,0.9957570114874976,0.298,0.4040000000000001,0.5960000000000001,0.8080000000000002,0.0889999999999999,0.2669999999999999,0.1779999999999999,0.5339999999999998,0.489,0.489,0.978,0.978,0.494,0.494,0.988,0.988,0.223,0.3345,0.446,0.669,0.0809999999999999,0.2429999999999998,0.1619999999999999,0.4859999999999997,OncNeg,KT,Guide3
Pten_3,795.3159733625474,668.6507776252382,549.4505494505495,2137.468566638726,5262.0,4429440.890365882,1.0,1.0,1.0,0.9825174255016228,0.9940792719878035,0.9916021721407928,0.8388996433811542,1.0,0.8457993999142736,1.0,Inert,Real,1.017878290977818,0.9272493491427042,0.137,0.9733307426527136,0.9735492045814572,1.0332761578044596,0.917641060805298,1.0104906496120178,0.9814852061285906,0.262,0.99381263839803,0.9946275468647192,1.0134184791085854,0.9801356223062416,1.027655448391969,0.9754499302477418,0.481,0.9991553553155754,0.999786067267539,1.0319663561451045,0.9670533279362876,1.0391989287787993,0.9575157475613848,0.482,0.9985074402184564,0.998164716471152,1.0466920330009508,0.9497170962928748,1.0,0.9275823514234112,0.024,1.0,0.983192684939581,1.0,0.9102508589775926,1.0156461286750929,0.973592531956369,0.25,0.990702434465442,0.9922271441052496,1.0188425541624426,0.971094448516487,0.137,0.4040000000000001,0.274,0.8080000000000002,0.262,0.385,0.524,0.77,0.481,0.489,0.962,0.978,0.482,0.494,0.964,0.988,0.024,0.072,0.048,0.144,0.25,0.3699999999999999,0.5,0.7399999999999999,OncNeg,KT,Guide3
Smad4_1,1878.6198813062067,795.4569915747363,526.7778753292362,15316.066725197528,993.0,36090328.82526796,3.0,263.91297550276124,1.0434782608695652,1.374535981316674,1.0381257388331566,1.078455368327707,1.2233062452495314,1.1309370836447137,0.9831683168316832,0.9364397195204704,Inert,Real,2.1639355439451875,0.16360013714671,0.73,1.3938721963991858,1.319941513886942,2.4807768663883616,0.0887676982437395,1.1027899736009366,0.6314108738124687,0.65,1.0279074884897876,0.9717164857166866,1.1934501683648155,0.5846838801739068,1.2050676279713144,0.6705673585177749,0.259,0.9405751597701676,0.9436141194355842,1.253811473639657,0.5845820107760815,2.140979038211789,0.3105791348414616,0.552,1.0633184582481146,1.1387028358366065,2.281354428141605,0.2259911735679049,1.0434782608695652,0.5667178961748633,0.509,1.021276595744681,0.9456316103455864,1.0909090909090908,0.5149424868527309,1.5706213787084873,0.2903628088562474,0.633,1.0490553443944362,0.9995384129150052,1.9106013165215376,0.1870387568375963,0.27,0.294,0.54,0.588,0.35,0.418,0.7,0.836,0.259,0.259,0.518,0.518,0.4479999999999999,0.4479999999999999,0.8959999999999999,0.8959999999999999,0.491,0.4909999999999999,0.982,0.982,0.367,0.492,0.734,0.984,PDAC,Cas12a,Guide3
Smad4_2,1613.9622689397474,760.6939062803577,526.7778753292362,12350.45405502604,1298.0,19165353.02437778,3.933333333333333,140.9733417750436,1.0434782608695652,1.1083879294089962,0.992757536670644,0.9265239288355688,0.6496226776054944,0.6041081523748316,1.2851485148514852,1.227776521149061,Inert,Real,1.5501399040561403,0.0572733433095556,0.262,0.712934167523892,0.7275359667598716,1.6728708770473333,0.029808421214136,1.242460926291822,0.7115459226031404,0.418,0.992021482107878,0.9906678209361148,1.337213333382828,0.5881399397041995,1.7730496686584607,1.0908296972221554,0.985,1.243140936071983,1.3049101234201872,1.896799744457508,1.0369364745197658,1.4367984073046198,0.095479814939736,0.197,0.5876918674961815,0.6556981381809605,1.6371525631503745,0.0525959211736209,1.208526158989369,0.6292587060155385,0.642,1.0434782608695652,0.9978681867090268,1.328920721076076,0.5638061474844744,1.252717525877295,0.1526015033134452,0.222,0.907753011605337,0.8399772556736991,1.5419864457038912,0.0758612771030541,0.262,0.294,0.524,0.588,0.418,0.418,0.836,0.836,0.015,0.0225,0.03,0.045,0.197,0.4479999999999999,0.394,0.8959999999999999,0.358,0.4909999999999999,0.716,0.982,0.222,0.492,0.444,0.984,PDAC,Cas12a,Guide3
