gene_combination,gene_combination_unordered,TTN,LN_mean_relative,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,95_percentile_relative,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,TTN_normalized_relative,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,Genotype
G3bp1_G3bp2_Inert_Inert,G3bp1_G3bp2_Inert_Inert,258.0,1.043874698350451,1.0142748997595294,1.0736707173098214,1.7441205908605997,0.7592492119688358,0.94,0.9509941520467836,0.9745574530941956,0.964439667506828,1.1091878143803973,2.280162388788738,0.5294536990747203,0.926,0.9354069767441862,0.3825093163017012,0.3775704999778063,0.3838990008370724,0.5124653862552326,0.2853146068152,0.0,0.0,KTCas12a
G3bp1_Inert_G3bp2_G3bp2,G3bp1_G3bp2_G3bp2_Inert,208.0,0.8658344052744114,0.8266538140718838,0.9089858337745697,1.6896987336689466,0.5908174773095008,0.512,0.5434110429447854,0.5808300914079161,0.5497318528910615,0.7853137858029227,2.3142483136516843,0.3583583135631389,0.324,0.3639740259740259,0.4971834429259258,0.4936016545068168,0.5079320259898149,0.7501233084013876,0.3441396787771699,0.0,0.0,KTCas12a
G3bp1_Inert_G3bp2_Inert,G3bp1_G3bp2_Inert_Inert,404.0,0.7446351507014827,0.7296446088494073,0.7505662983366053,0.9744223472527964,0.6176479512064842,0.038,0.0450273972602739,0.5670790943427234,0.5749039647312062,0.6215386172979434,1.0320911480248054,0.3962603527378895,0.082,0.1020575539568345,0.6481983295680736,0.6544579111334723,0.6855451127962956,1.0937711964348025,0.4718987438676377,0.088,0.1770232558139534,KTCas12a
G3bp1_Inert_Inert_G3bp2,G3bp1_G3bp2_Inert_Inert,94.0,0.89588838438501,0.8659907275937555,0.9040822797141947,1.52532963419344,0.5531358224423232,0.596,0.6137380952380952,0.7379972706828023,0.7186984616471551,1.050173564841573,4.568994463546595,0.3536553564951685,0.596,0.6248969696969696,0.3932051748140135,0.4012876500772886,0.4248778694059102,0.775007206518363,0.2174224998773092,0.008,0.021625,KTCas12a
G3bp1_Inert_Inert_Inert,G3bp1_Inert_Inert_Inert,1012.0,0.9592724184896464,0.9533818191123684,0.9581299598540208,1.1283225302951707,0.8251205616468998,0.552,0.5718323353293414,0.9442974654663596,0.8964589455265847,0.9064141906541854,1.2609825441566782,0.6737642684163012,0.492,0.5353207547169812,0.871547389982,0.8757935673586608,0.8922281014036806,1.175992561293242,0.703870145740629,0.37,0.5518103448275863,KTCas12a
G3bp2_G3bp1_Inert_Inert,G3bp1_G3bp2_Inert_Inert,315.0,0.7839419889298519,0.7450097621774328,0.7942227101299806,1.2454319875785205,0.5995342296616978,0.234,0.2578471337579617,0.5372099223549178,0.5223369904133768,0.5591589439512927,0.9380228715688992,0.3955947079536039,0.026,0.0368688524590164,0.7529460794310897,0.7655395769005148,0.7993884039016965,1.2921688929761006,0.5453740265742885,0.266,0.4221834862385321,KTCas12a
G3bp2_Inert_G3bp1_Inert,G3bp1_G3bp2_Inert_Inert,303.0,0.7277635485447623,0.7233779123148874,0.7322968264337851,0.9089702831040948,0.6031274548338101,0.012,0.0148285714285714,0.6424794438785215,0.6159359203469004,0.6423457117132909,0.9969661309931334,0.3780618294855882,0.046,0.0602878787878787,0.5377099779371519,0.5393422320085495,0.5439132475612808,0.7669579963157387,0.3571250394509291,0.0,0.0,KTCas12a
G3bp2_Inert_Inert_G3bp1,G3bp1_G3bp2_Inert_Inert,101.0,0.6554218306763164,0.6490221826476461,0.6630757369360938,0.8830855999136982,0.5278541487558912,0.006,0.0078636363636363,0.5559381869315766,0.5001287649859132,0.534133646813197,0.882492658017007,0.2565404699292682,0.04,0.0536434108527131,0.9099707318936416,0.8972818501121123,0.9873813529806098,2.046939230241647,0.4872350258053179,0.744,0.8850068027210884,KTCas12a
G3bp2_Inert_Inert_Inert,G3bp2_Inert_Inert_Inert,983.0,0.8773804417733747,0.8743647388091731,0.8776010799851842,0.9740579232309438,0.793666617457313,0.012,0.0148285714285714,0.8584646847193909,0.8452468088740235,0.8812908668304699,1.1801955354966187,0.6624937302630022,0.438,0.4795822784810126,0.7020354976375784,0.7082974478960605,0.7132098175076917,0.901516590018698,0.5676212329945425,0.006,0.0167419354838709,KTCas12a
Gsk3a_Gsk3a_Gsk3b_Gsk3b,Gsk3a_Gsk3a_Gsk3b_Gsk3b,912.0,82.452287329075,80.00817689161639,86.75756081537001,162.14146791494124,43.94696827700778,0.0,0.0,87.08328687659684,85.89097065978633,87.5291826165257,136.52519053868323,53.69473271883743,0.0,0.0,1.2716422674836183,1.2789171929847871,1.3037202704066495,1.8066220490238531,0.9870637527497896,0.062,0.1292289156626507,KTCas12a
Gsk3a_Gsk3a_Gsk3b_Inert,Gsk3a_Gsk3a_Gsk3b_Inert,1661.0,103.5821899658325,102.59465249699689,104.38924857177146,149.2224981369787,70.8535047177092,0.0,0.0,108.67956381138406,108.32869249394676,108.92383601944265,147.3384607574771,78.83094737066078,0.0,0.0,1.2083511477633235,1.2128913166342663,1.2209129920182094,1.4861199122378843,1.00712547850391,0.032,0.0718961038961039,KTCas12a
Gsk3a_Gsk3a_Inert_Gsk3b,Gsk3a_Gsk3a_Gsk3b_Inert,648.0,51.21334641805436,51.41140559884425,52.8919151284394,85.4883736211355,30.20753972016692,0.0,0.0,67.21842701366269,66.36842105263159,66.32343082448165,92.10404312441842,44.08317158018404,0.0,0.0,1.132790519502296,1.1530927868822882,1.167323631701768,1.594953735368526,0.8597286518151469,0.3600000000000001,0.5511504424778763,KTCas12a
Gsk3a_Gsk3b_Inert_Inert,Gsk3a_Gsk3b_Inert_Inert,777.0,81.78534908230644,81.70011377000762,84.3519040386751,131.64357790102446,49.77276370499136,0.0,0.0,89.99866326561283,91.13784006274778,93.7734675707378,132.86977633849904,68.56623552123553,0.0,0.0,1.137576035007138,1.1520882842802642,1.184663391218417,1.7611595616255349,0.8754470983132776,0.3680000000000001,0.5518103448275863,KTCas12a
Gsk3a_Inert_Gsk3b_Gsk3b,Gsk3a_Gsk3b_Gsk3b_Inert,908.0,69.49698399485953,68.37118984157775,70.04364916100502,107.52484185805426,42.03094366576229,0.0,0.0,80.55868254962932,78.60458589455291,79.35671472359783,106.61164048973482,56.677387302360586,0.0,0.0,1.3461955783021116,1.3643425436073215,1.392475305138159,1.9291938819733117,1.0406894811846774,0.018,0.04325,KTCas12a
Gsk3a_Inert_Gsk3b_Inert,Gsk3a_Gsk3b_Inert_Inert,966.0,81.53837503527518,81.70635058495284,86.20099281404447,148.56531939161871,46.284634018127285,0.0,0.0,88.23764433764869,87.49210436248686,88.0112539698907,120.9329076906,60.086889842069965,0.0,0.0,1.1909757635352114,1.1931680553167876,1.2041324921677972,1.573666504269866,0.932416418220599,0.2159999999999999,0.3558857142857142,KTCas12a
