gene_combination_unordered,TTN,LN_mean_relative,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,95_percentile_relative,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,TTN_normalized_relative,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,Genotype
Gsk3a_Gsk3b_Inert_Inert,7323.0,57.68343772681176,57.52577713642624,58.19798654188561,76.05834262122991,45.11339934372453,0.0,0.0,77.80020275782766,78.15914325981299,78.28958451545728,94.21815420951296,64.48874824292388,0.0,0.0,1.201268875745941,1.1990018493899168,1.2041367770132898,1.4005293891022257,1.026449038179586,0.02,0.037037037037037,KTCas12a
Gsk3a_Inert_Inert_Inert,4377.0,1.0674209983002512,1.0638689915158597,1.0673191685997052,1.1652230784870314,0.9789436687668176,0.1579999999999999,0.1717391304347825,1.113565864912886,1.09777378584718,1.1085039125123315,1.291888392404423,0.9586995038373768,0.1939999999999999,0.2063829787234042,1.023265244075811,1.0200111862954628,1.0237289291504017,1.1667907593896525,0.8984311356217948,0.772,0.9404255319148936,KTCas12a
Gsk3b_Inert_Inert_Inert,4545.0,1.715958433927372,1.7102646172060578,1.713754236440462,1.8884421973108705,1.5622940445761817,0.0,0.0,2.14913109516855,2.1272489989650096,2.1217466371288976,2.3976490813572617,1.819951001089476,0.0,0.0,1.132623145016554,1.1339256314229145,1.1388793771078678,1.2839794892050629,1.0175629235922647,0.028,0.0482758620689655,KTCas12a
Inert_Inert_Inert_Inert,32222.0,1.0864983326154292,0.9967661862810492,1.0021954737066927,1.1388602029419777,0.8816390797631443,0.972,0.972,0.9860206605349948,0.9963706568812069,1.0038882183792346,1.1873577834983813,0.8492024067583471,0.94,0.94,1.0126915469249242,0.9994082364583086,1.0004871164992464,1.0635193583873963,0.9411552762531727,0.976,0.9959183673469388,KTCas12a
Inert_Inert_Inert_Setd2,15983.0,2.773360739921014,2.7750274873374225,2.775026432503256,2.9940209890035505,2.5418472788281163,0.0,0.0,3.82102611303522,3.823289554702898,3.833973230902139,4.266233298967582,3.453269055512185,0.0,0.0,1.105734203751785,1.1061570453592997,1.1077737368929648,1.2058489390508271,1.0157451515458833,0.02,0.037037037037037,KTCas12a
Inert_Inert_Setd2_Setd2,4994.0,3.04307515488037,3.0391853342750377,3.041253690673056,3.3200024115857167,2.7446837319387263,0.0,0.0,3.978441611341872,3.980223767205387,3.977738648622706,4.460474124407402,3.4903668171451896,0.0,0.0,1.3323963069983311,1.3335467072022391,1.3392008790865595,1.5780093593202316,1.1485461753154915,0.0,0.0,KTCas12a
Inert_Setd2_Setd2_Setd2,3322.0,3.2897876169469424,3.294272396994784,3.2907569956483127,3.6732166732341742,2.9098772366794314,0.0,0.0,3.977179679583792,3.9678628072957975,3.970765409239395,4.573529821865399,3.4030409567191464,0.0,0.0,1.1649373340712283,1.1678473938220255,1.1748346826322351,1.4077590847613792,0.9828820477230064,0.076,0.1187500000000001,KTCas12a
Pcna_Inert_Inert_Inert,8563.0,0.6695782539987875,0.6697642847595062,0.6703991616830584,0.7092200290529025,0.6317316227943155,0.0,0.0,0.5349779253918882,0.5373050933648356,0.5377074424943391,0.5961920816044259,0.4791954989510907,0.0,0.0,0.5773983361757686,0.5774355212458029,0.5773090825133864,0.6237447968387794,0.5325919812333431,0.0,0.0,KTCas12a
Pcna_Pcna_Inert_Inert,1314.0,0.6321856935130703,0.6303819166233737,0.6323199557330856,0.6990021990307448,0.575755348058988,0.0,0.0,0.4913398740202538,0.4839387797363185,0.4919264713014861,0.6614061905332103,0.3812517454454275,0.0,0.0,0.4286968764226037,0.4291552066239261,0.4317018823513384,0.5252086275308215,0.3508466699584001,0.0,0.0,KTCas12a
Pcna_Pcna_Pcna_Inert,812.0,0.6045761701887128,0.6046386104476695,0.6054780285508289,0.6688415776443702,0.5409172164862674,0.0,0.0,0.4684723551591092,0.4758054856869086,0.4806218227246379,0.6444606935702827,0.3389778429624015,0.0,0.0,0.4616769703868731,0.4648373732535399,0.4713998878519166,0.6077191353764669,0.3783651571874213,0.0,0.0,KTCas12a
Pcna_Pcna_Pcna_Pcna,170.0,0.5744872059323951,0.5720158798149257,0.5758870784455746,0.6661330623573322,0.5083166382229172,0.0,0.0,0.3868117492926889,0.3721285787272673,0.3880153582859877,0.6066542684068059,0.2574774181274049,0.0,0.0,0.423643420578249,0.429583075856775,0.4425523334944604,0.6755906845834936,0.2929288260411136,0.002,0.0043478260869565,KTCas12a
Rb1_Inert_Inert_Inert,16537.0,2.3289283043520164,2.3223723564575565,2.323233264493386,2.526219542612473,2.1231631322020275,0.0,0.0,3.010341480012291,3.0118941045349583,3.0202828288111943,3.3200176001493973,2.7251497125272075,0.0,0.0,1.150858720655754,1.14456599997979,1.1486969419670514,1.275494537797542,1.039907465154788,0.006,0.0125,KTCas12a
Rb1_Rb1_Inert_Inert,3309.0,2.5607601136335245,2.551332702572453,2.5552343461414257,2.8841790092661777,2.250597226893737,0.0,0.0,3.4623261818990274,3.460953254793324,3.445069395809987,3.958096845380725,2.9365323631034017,0.0,0.0,1.0119228336444637,1.0108898170145686,1.0151298776504412,1.1737803519804624,0.8697373484976664,0.8680000000000001,0.9404255319148936,KTCas12a
Rb1_Rb1_Rb1_Inert,1992.0,2.907663971680182,2.8605665609418285,2.9011787371013447,3.723261947969297,2.32172236578577,0.0,0.0,3.655983974624846,3.60083673335967,3.634795148254356,4.766218443814232,2.759551386282572,0.0,0.0,1.041575409879674,1.0432695505550449,1.0504182219990057,1.288463890534462,0.8389648942791955,0.716,0.8949999999999999,KTCas12a
Rb1_Rb1_Rb1_Rb1,524.0,2.959206097256462,2.92694598817437,2.98498316812078,4.186383356857554,2.157027906321064,0.0,0.0,3.693016588488336,3.699366016862376,3.862448132282799,5.804728898691639,2.3113727053125936,0.0,0.0,0.9898947022771458,0.9992653569571136,1.0370325701445164,1.6109873010649942,0.7242546228379004,0.996,0.996,KTCas12a
Rbm10_Inert_Inert_Inert,31480.0,1.39235596913391,1.3922580455771234,1.3917169347577218,1.4554428853948576,1.326485073955413,0.0,0.0,1.578955588293371,1.579372544412129,1.5804435474029708,1.6710292061012475,1.49159547279469,0.0,0.0,1.0690325573495372,1.068403915500841,1.0704793216610868,1.1585975412331906,0.984953094724018,0.1,0.1515151515151516,KTCas12a
Rbm10_Rbm10_Inert_Inert,7522.0,1.285978382173048,1.2881858358792608,1.287957744420663,1.3950306873910094,1.1891803516829331,0.0,0.0,1.4123687192781933,1.3955772124342534,1.402134033828765,1.5954461205209598,1.2370293730409794,0.0,0.0,1.024434699389266,1.021835031656518,1.0244495458563398,1.118434361358275,0.9387739254835742,0.6279999999999999,0.8486486486486485,KTCas12a
Rbm10_Rbm10_Rbm10_Inert,7018.0,1.2911547999729076,1.2890950452545136,1.290101851126359,1.4063215275348755,1.1840793482643432,0.0,0.0,1.3821094521442103,1.3918270228657157,1.3934210333835495,1.5473937301746965,1.251975467986643,0.0,0.0,1.0606230565772532,1.0605309333405546,1.0606197384049447,1.1972520010787002,0.9393390012387288,0.3560000000000001,0.5085714285714287,KTCas12a
Rbm10_Rbm10_Rbm10_Rbm10,2478.0,1.303301613454852,1.3054568769573844,1.3077657613933675,1.4579206701951453,1.1862063453342706,0.0,0.0,1.455019774668551,1.447079590193119,1.4577503916794008,1.6718793302523671,1.2925884420834637,0.0,0.0,1.078942808245492,1.0728823011180877,1.0827357242980415,1.2828925584815103,0.9308119086012628,0.3460000000000001,0.5085714285714287,KTCas12a
Rpa3_Inert_Inert_Inert,19680.0,0.7086598231245621,0.709505019385722,0.7098688609249193,0.7411596413444229,0.6784904981299593,0.0,0.0,0.611156915410904,0.6115994076268048,0.6108859033885637,0.6630815411121651,0.5636839611390903,0.0,0.0,0.6505839489599329,0.650558475232722,0.6500958710186588,0.690762383195604,0.6103470981884216,0.0,0.0,KTCas12a
Rpa3_Rpa3_Inert_Inert,2616.0,0.6043576671260809,0.6045114831860375,0.6053313442248942,0.648404710689155,0.5681362839113158,0.0,0.0,0.448290770506099,0.4494553811123803,0.4513810426572837,0.5161540405460419,0.3932427776120742,0.0,0.0,0.4802489936099656,0.4812884595907798,0.4815473695112825,0.5446852467451208,0.4240598229100042,0.0,0.0,KTCas12a
